spend_date,channel,category,marketing_spend
2025-10-06,MYNTRA,Trousers,2143.43
2025-10-06,MYNTRA,Jackets,1502.85
2025-10-06,FLIPKART,Shirts,3556.24
2025-10-06,FLIPKART,T-Shirts,3010.36
2025-10-06,FLIPKART,Jeans,2042.62
2025-10-06,FLIPKART,Co-ords,1541.34
2025-10-06,FLIPKART,Trousers,1302.41
2025-10-06,FLIPKART,Jackets,1203.82
2025-10-06,AJIO,Shirts,2298.96
2025-10-06,AJIO,T-Shirts,1463.5
2025-10-06,AJIO,Jeans,1395.5
2025-10-06,AJIO,Co-ords,761.12
2025-10-06,AJIO,Trousers,786.1
2025-10-06,AJIO,Jackets,824.82
2025-10-07,D2C_APP,Shirts,7009.4
2025-10-07,D2C_APP,T-Shirts,5153.96
2025-10-07,D2C_APP,Jeans,2855.59
2025-10-07,D2C_APP,Co-ords,1671.81
2025-10-07,D2C_APP,Trousers,1421.13
2025-10-07,D2C_APP,Jackets,1857.47
2025-10-07,D2C_WEB,Shirts,3487.14
2025-10-07,D2C_WEB,T-Shirts,2146.91
2025-10-07,D2C_WEB,Jeans,2439.75
2025-10-07,D2C_WEB,Co-ords,1282.93
2025-10-07,D2C_WEB,Trousers,1675.53
2025-10-07,D2C_WEB,Jackets,1110.94
2025-10-07,MYNTRA,Shirts,5797.87
2025-10-07,MYNTRA,T-Shirts,5329.28
2025-10-07,MYNTRA,Jeans,3400.49
2025-10-07,MYNTRA,Co-ords,3397.86
2025-10-07,MYNTRA,Trousers,2793.71
2025-10-07,MYNTRA,Jackets,2349.07
2025-10-07,FLIPKART,Shirts,5245.57
2025-10-07,FLIPKART,T-Shirts,4227.02
2025-10-07,FLIPKART,Jeans,2826.55
2025-10-07,FLIPKART,Co-ords,1224.78
2025-10-07,FLIPKART,Trousers,1568.81
2025-10-07,FLIPKART,Jackets,1491.32
2025-10-07,AJIO,Shirts,2648.56
2025-10-07,AJIO,T-Shirts,2309.7
2025-10-07,AJIO,Jeans,1733.87
2025-10-07,AJIO,Co-ords,1208.73
2025-10-07,AJIO,Trousers,876.3
2025-10-07,AJIO,Jackets,561.75
2025-10-08,D2C_APP,Shirts,5880.49
2025-10-08,D2C_APP,T-Shirts,3695.22
2025-10-08,D2C_APP,Jeans,2468.27
2025-10-08,D2C_APP,Co-ords,1606.73
2025-10-08,D2C_APP,Trousers,1822.46
2025-10-08,D2C_APP,Jackets,1701.03
2025-10-08,D2C_WEB,Shirts,4550.49
2025-10-08,D2C_WEB,T-Shirts,2310.58
2025-10-08,D2C_WEB,Jeans,2392.02
2025-10-08,D2C_WEB,Co-ords,1790.35
2025-10-08,D2C_WEB,Trousers,1455.61
2025-10-08,D2C_WEB,Jackets,814.28
2025-10-08,MYNTRA,Shirts,8637.65
2025-10-08,MYNTRA,T-Shirts,5092.85
2025-10-08,MYNTRA,Jeans,3985.5
2025-10-08,MYNTRA,Co-ords,1923.83
2025-10-08,MYNTRA,Trousers,1826.71
2025-10-08,MYNTRA,Jackets,1960.8
2025-10-08,FLIPKART,Shirts,4732.5
2025-10-08,FLIPKART,T-Shirts,2760.77
2025-10-08,FLIPKART,Jeans,2400.14
2025-10-08,FLIPKART,Co-ords,2251.93
2025-10-08,FLIPKART,Trousers,1180.33
2025-10-08,FLIPKART,Jackets,967.73
2025-10-08,AJIO,Shirts,3261.41
2025-10-08,AJIO,T-Shirts,1378.73
2025-10-08,AJIO,Jeans,1825.14
2025-10-08,AJIO,Co-ords,967.07
2025-10-08,AJIO,Trousers,737.22
2025-10-08,AJIO,Jackets,797.75
2025-10-09,D2C_APP,Shirts,5287.83
2025-10-09,D2C_APP,T-Shirts,3152.39
2025-10-09,D2C_APP,Jeans,3821.17
2025-10-09,D2C_APP,Co-ords,1605.92
2025-10-09,D2C_APP,Trousers,1591.84
2025-10-09,D2C_APP,Jackets,1994.43
2025-10-09,D2C_WEB,Shirts,2665.39
2025-10-09,D2C_WEB,T-Shirts,2086.14
2025-10-09,D2C_WEB,Jeans,1558.81
2025-10-09,D2C_WEB,Co-ords,1567.22
2025-10-09,D2C_WEB,Trousers,1603.91
2025-10-09,D2C_WEB,Jackets,1053.5
2025-10-09,MYNTRA,Shirts,5953.75
2025-10-09,MYNTRA,T-Shirts,4540.11
2025-10-09,MYNTRA,Jeans,5398.1
2025-10-09,MYNTRA,Co-ords,3653.46
2025-10-09,MYNTRA,Trousers,2291.76
2025-10-09,MYNTRA,Jackets,1501.47
2025-10-09,FLIPKART,Shirts,5688.06
2025-10-09,FLIPKART,T-Shirts,3530.58
2025-10-09,FLIPKART,Jeans,3204.06
2025-10-09,FLIPKART,Co-ords,2165.37
2025-10-09,FLIPKART,Trousers,993.72
2025-10-09,FLIPKART,Jackets,1196.11
2025-10-09,AJIO,Shirts,1766.59
2025-10-09,AJIO,T-Shirts,2377.62
2025-10-09,AJIO,Jeans,1095.98
2025-10-09,AJIO,Co-ords,1148.9
2025-10-09,AJIO,Trousers,1085.27
2025-10-09,AJIO,Jackets,680.85
2025-10-10,D2C_APP,Shirts,6197.16
2025-10-10,D2C_APP,T-Shirts,2825.07
2025-10-10,D2C_APP,Jeans,4349.28
2025-10-10,D2C_APP,Co-ords,1944.49
2025-10-10,D2C_APP,Trousers,2496.27
2025-10-10,D2C_APP,Jackets,1138.42
2025-10-10,D2C_WEB,Shirts,2994.93
2025-10-10,D2C_WEB,T-Shirts,2726.52
2025-10-10,D2C_WEB,Jeans,2434.03
2025-10-10,D2C_WEB,Co-ords,1841.24
2025-10-10,D2C_WEB,Trousers,1479.54
2025-10-10,D2C_WEB,Jackets,1195.68
2025-10-10,MYNTRA,Shirts,4654.65
2025-10-10,MYNTRA,T-Shirts,5089.35
2025-10-10,MYNTRA,Jeans,5525.76
2025-10-10,MYNTRA,Co-ords,2752.53
2025-10-10,MYNTRA,Trousers,3051.29
2025-10-10,MYNTRA,Jackets,1626.75
2025-10-10,FLIPKART,Shirts,4481.71
2025-10-10,FLIPKART,T-Shirts,3270.87
2025-10-10,FLIPKART,Jeans,1768.68
2025-10-10,FLIPKART,Co-ords,1900.2
2025-10-10,FLIPKART,Trousers,1610.18
2025-10-10,FLIPKART,Jackets,1397.17
2025-10-10,AJIO,Shirts,3161.46
2025-10-10,AJIO,T-Shirts,1783.55
2025-10-10,AJIO,Jeans,1458.18
2025-10-10,AJIO,Co-ords,881.22
2025-10-10,AJIO,Trousers,956.54
2025-10-10,AJIO,Jackets,773.42
2025-10-11,D2C_APP,Shirts,5685.6
2025-10-11,D2C_APP,T-Shirts,5706.02
2025-10-11,D2C_APP,Jeans,3279.15
2025-10-11,D2C_APP,Co-ords,2165.22
2025-10-11,D2C_APP,Trousers,2379.68
2025-10-11,D2C_APP,Jackets,1884.58
2025-10-11,D2C_WEB,Shirts,3770.25
2025-10-11,D2C_WEB,T-Shirts,3184.55
2025-10-11,D2C_WEB,Jeans,3486.41
2025-10-11,D2C_WEB,Co-ords,2594.8
2025-10-11,D2C_WEB,Trousers,2099.42
2025-10-11,D2C_WEB,Jackets,1329.64
2025-10-11,MYNTRA,Shirts,10061.59
2025-10-11,MYNTRA,T-Shirts,5201.27
2025-10-11,MYNTRA,Jeans,6813.16
2025-10-11,MYNTRA,Co-ords,3879.76
2025-10-11,MYNTRA,Trousers,3976.72
2025-10-11,MYNTRA,Jackets,2069.13
2025-10-11,FLIPKART,Shirts,4484.68
2025-10-11,FLIPKART,T-Shirts,5128.92
2025-10-11,FLIPKART,Jeans,3559.66
2025-10-11,FLIPKART,Co-ords,1685.84
2025-10-11,FLIPKART,Trousers,2086.33
2025-10-11,FLIPKART,Jackets,1805.43
2025-10-11,AJIO,Shirts,3618.17
2025-10-11,AJIO,T-Shirts,2563.22
2025-10-11,AJIO,Jeans,1808.94
2025-10-11,AJIO,Co-ords,1679.18
2025-10-11,AJIO,Trousers,924.04
2025-10-11,AJIO,Jackets,661.32
2025-10-12,D2C_APP,Shirts,9066.45
2025-10-12,D2C_APP,T-Shirts,5391.65
2025-10-12,D2C_APP,Jeans,3092.47
2025-10-12,D2C_APP,Co-ords,2753.35
2025-10-12,D2C_APP,Trousers,2909.9
2025-10-12,D2C_APP,Jackets,1379.77
2025-10-12,D2C_WEB,Shirts,4934.23
2025-10-12,D2C_WEB,T-Shirts,2414.53
2025-10-12,D2C_WEB,Jeans,3326.15
2025-10-12,D2C_WEB,Co-ords,1536.29
2025-10-12,D2C_WEB,Trousers,1928.82
2025-10-12,D2C_WEB,Jackets,1587.16
2025-10-12,MYNTRA,Shirts,11993.74
2025-10-12,MYNTRA,T-Shirts,8540.15
2025-10-12,MYNTRA,Jeans,4381.14
2025-10-12,MYNTRA,Co-ords,3185.61
2025-10-12,MYNTRA,Trousers,2465.9
2025-10-12,MYNTRA,Jackets,2465.58
2025-10-12,FLIPKART,Shirts,6121.07
2025-10-12,FLIPKART,T-Shirts,3670.69
2025-10-12,FLIPKART,Jeans,4534.13
2025-10-12,FLIPKART,Co-ords,2572.95
2025-10-12,FLIPKART,Trousers,2162.67
2025-10-12,FLIPKART,Jackets,2004.39
2025-10-12,AJIO,Shirts,3270.75
2025-10-12,AJIO,T-Shirts,2490.4
2025-10-12,AJIO,Jeans,2115.58
2025-10-12,AJIO,Co-ords,1082.03
2025-10-12,AJIO,Trousers,728.56
2025-10-12,AJIO,Jackets,1115.52
2025-10-13,D2C_APP,Shirts,7082.95
2025-10-13,D2C_APP,T-Shirts,4097.86
2025-10-13,D2C_APP,Jeans,4199.72
2025-10-13,D2C_APP,Co-ords,2177.29
2025-10-13,D2C_APP,Trousers,2394.92
2025-10-13,D2C_APP,Jackets,1339.78
2025-10-13,D2C_WEB,Shirts,3738.46
2025-10-13,D2C_WEB,T-Shirts,1942.42
2025-10-13,D2C_WEB,Jeans,1859.37
2025-10-13,D2C_WEB,Co-ords,1037.64
2025-10-13,D2C_WEB,Trousers,1484.27
2025-10-13,D2C_WEB,Jackets,742.65
2025-10-13,MYNTRA,Shirts,4653.97
2025-10-13,MYNTRA,T-Shirts,6288.44
2025-10-13,MYNTRA,Jeans,3044.12
2025-10-13,MYNTRA,Co-ords,3328.25
2025-10-13,MYNTRA,Trousers,2112.13
2025-10-13,MYNTRA,Jackets,1752.8
2025-10-13,FLIPKART,Shirts,4238.67
2025-10-13,FLIPKART,T-Shirts,3395.39
2025-10-13,FLIPKART,Jeans,2834.85
2025-10-13,FLIPKART,Co-ords,1597.5
2025-10-13,FLIPKART,Trousers,1323.59
2025-10-13,FLIPKART,Jackets,960.59
2025-10-13,AJIO,Shirts,3052.94
2025-10-13,AJIO,T-Shirts,1609.34
2025-10-13,AJIO,Jeans,1499.13
2025-10-13,AJIO,Co-ords,780.14
2025-10-13,AJIO,Trousers,727.95
2025-10-13,AJIO,Jackets,784.59
2025-10-14,D2C_APP,Shirts,5694.93
2025-10-14,D2C_APP,T-Shirts,3070.66
2025-10-14,D2C_APP,Jeans,2798.62
2025-10-14,D2C_APP,Co-ords,2580.44
2025-10-14,D2C_APP,Trousers,1584.45
2025-10-14,D2C_APP,Jackets,1943.94
2025-10-14,D2C_WEB,Shirts,2761.22
2025-10-14,D2C_WEB,T-Shirts,3091.44
2025-10-14,D2C_WEB,Jeans,1647.2
2025-10-14,D2C_WEB,Co-ords,1641.97
2025-10-14,D2C_WEB,Trousers,1273.22
2025-10-14,D2C_WEB,Jackets,1169.16
2025-10-14,MYNTRA,Shirts,6009.54
2025-10-14,MYNTRA,T-Shirts,6485.58
2025-10-14,MYNTRA,Jeans,5231.65
2025-10-14,MYNTRA,Co-ords,3659.33
2025-10-14,MYNTRA,Trousers,2565.66
2025-10-14,MYNTRA,Jackets,1547.8
2025-10-14,FLIPKART,Shirts,3663.12
2025-10-14,FLIPKART,T-Shirts,2191.12
2025-10-14,FLIPKART,Jeans,3490.63
2025-10-14,FLIPKART,Co-ords,1388.04
2025-10-14,FLIPKART,Trousers,1371.38
2025-10-14,FLIPKART,Jackets,1090.04
2025-10-14,AJIO,Shirts,2146.61
2025-10-14,AJIO,T-Shirts,2384.93
2025-10-14,AJIO,Jeans,1079.68
2025-10-14,AJIO,Co-ords,1032.19
2025-10-14,AJIO,Trousers,1041.45
2025-10-14,AJIO,Jackets,564.69
2025-10-15,D2C_APP,Shirts,3971.87
2025-10-15,D2C_APP,T-Shirts,5386.6
2025-10-15,D2C_APP,Jeans,3774.81
2025-10-15,D2C_APP,Co-ords,2039.2
2025-10-15,D2C_APP,Trousers,2485.5
2025-10-15,D2C_APP,Jackets,1180.23
2025-10-15,D2C_WEB,Shirts,4575.28
2025-10-15,D2C_WEB,T-Shirts,3479.31
2025-10-15,D2C_WEB,Jeans,2676.09
2025-10-15,D2C_WEB,Co-ords,1289.12
2025-10-15,D2C_WEB,Trousers,1615.35
2025-10-15,D2C_WEB,Jackets,677.11
2025-10-15,MYNTRA,Shirts,7131.99
2025-10-15,MYNTRA,T-Shirts,4473.81
2025-10-15,MYNTRA,Jeans,3635.37
2025-10-15,MYNTRA,Co-ords,1949.96
2025-10-15,MYNTRA,Trousers,2127.08
2025-10-15,MYNTRA,Jackets,1733.85
2025-10-15,FLIPKART,Shirts,5339.5
2025-10-15,FLIPKART,T-Shirts,3505.24
2025-10-15,FLIPKART,Jeans,1996.58
2025-10-15,FLIPKART,Co-ords,2045.68
2025-10-15,FLIPKART,Trousers,1722.6
2025-10-15,FLIPKART,Jackets,1402.65
2025-10-15,AJIO,Shirts,2231.56
2025-10-15,AJIO,T-Shirts,2256.82
2025-10-15,AJIO,Jeans,1261.73
2025-10-15,AJIO,Co-ords,1134.26
2025-10-15,AJIO,Trousers,834.36
2025-10-15,AJIO,Jackets,833.8
2025-10-16,D2C_APP,Shirts,6946.48
2025-10-16,D2C_APP,T-Shirts,5052.16
2025-10-16,D2C_APP,Jeans,4027.04
2025-10-16,D2C_APP,Co-ords,1787.01
2025-10-16,D2C_APP,Trousers,1978.5
2025-10-16,D2C_APP,Jackets,1407.89
2025-10-16,D2C_WEB,Shirts,4258.69
2025-10-16,D2C_WEB,T-Shirts,3262.27
2025-10-16,D2C_WEB,Jeans,2855.35
2025-10-16,D2C_WEB,Co-ords,1745.21
2025-10-16,D2C_WEB,Trousers,881.31
2025-10-16,D2C_WEB,Jackets,680.13
2025-10-16,MYNTRA,Shirts,6423.54
2025-10-16,MYNTRA,T-Shirts,5595.77
2025-10-16,MYNTRA,Jeans,4638.08
2025-10-16,MYNTRA,Co-ords,3480.55
2025-10-16,MYNTRA,Trousers,2665.86
2025-10-16,MYNTRA,Jackets,2261.81
2025-10-16,FLIPKART,Shirts,3606.01
2025-10-16,FLIPKART,T-Shirts,3583.03
2025-10-16,FLIPKART,Jeans,1873.59
2025-10-16,FLIPKART,Co-ords,2261.57
2025-10-16,FLIPKART,Trousers,1013.88
2025-10-16,FLIPKART,Jackets,1399.21
2025-10-16,AJIO,Shirts,3258.15
2025-10-16,AJIO,T-Shirts,1498.38
2025-10-16,AJIO,Jeans,1689.16
2025-10-16,AJIO,Co-ords,1320.04
2025-10-16,AJIO,Trousers,1057.25
2025-10-16,AJIO,Jackets,607.24
2025-10-17,D2C_APP,Shirts,7170.08
2025-10-17,D2C_APP,T-Shirts,2985.51
2025-10-17,D2C_APP,Jeans,3445.39
2025-10-17,D2C_APP,Co-ords,2560.88
2025-10-17,D2C_APP,Trousers,1985.42
2025-10-17,D2C_APP,Jackets,1766.27
2025-10-17,D2C_WEB,Shirts,2575.89
2025-10-17,D2C_WEB,T-Shirts,3129.05
2025-10-17,D2C_WEB,Jeans,2321.14
2025-10-17,D2C_WEB,Co-ords,1393.45
2025-10-17,D2C_WEB,Trousers,1004.07
2025-10-17,D2C_WEB,Jackets,1285.75
2025-10-17,MYNTRA,Shirts,5457.3
2025-10-17,MYNTRA,T-Shirts,4843.01
2025-10-17,MYNTRA,Jeans,5450.98
2025-10-17,MYNTRA,Co-ords,2759.97
2025-10-17,MYNTRA,Trousers,1762.92
2025-10-17,MYNTRA,Jackets,2424.62
2025-10-17,FLIPKART,Shirts,3628.4
2025-10-17,FLIPKART,T-Shirts,3111.02
2025-10-17,FLIPKART,Jeans,2645.45
2025-10-17,FLIPKART,Co-ords,2309.94
2025-10-17,FLIPKART,Trousers,1398.39
2025-10-17,FLIPKART,Jackets,925.46
2025-10-17,AJIO,Shirts,2261.27
2025-10-17,AJIO,T-Shirts,1855.75
2025-10-17,AJIO,Jeans,1606.79
2025-10-17,AJIO,Co-ords,909.69
2025-10-17,AJIO,Trousers,760.58
2025-10-17,AJIO,Jackets,533.92
2025-10-18,D2C_APP,Shirts,6911.02
2025-10-18,D2C_APP,T-Shirts,6626.03
2025-10-18,D2C_APP,Jeans,4083.91
2025-10-18,D2C_APP,Co-ords,3860.09
2025-10-18,D2C_APP,Trousers,2034.45
2025-10-18,D2C_APP,Jackets,1917.93
2025-10-18,D2C_WEB,Shirts,4356.22
2025-10-18,D2C_WEB,T-Shirts,3517.38
2025-10-18,D2C_WEB,Jeans,3169.85
2025-10-18,D2C_WEB,Co-ords,2435.51
2025-10-18,D2C_WEB,Trousers,2087.84
2025-10-18,D2C_WEB,Jackets,1186.52
2025-10-18,MYNTRA,Shirts,6452.5
2025-10-18,MYNTRA,T-Shirts,4600.84
2025-10-18,MYNTRA,Jeans,5215.12
2025-10-18,MYNTRA,Co-ords,2818.06
2025-10-18,MYNTRA,Trousers,2813.5
2025-10-18,MYNTRA,Jackets,2437.21
2025-10-18,FLIPKART,Shirts,4126.65
2025-10-18,FLIPKART,T-Shirts,3635.18
2025-10-18,FLIPKART,Jeans,2385.89
2025-10-18,FLIPKART,Co-ords,2313.94
2025-10-18,FLIPKART,Trousers,2288.05
2025-10-18,FLIPKART,Jackets,1664.49
2025-10-18,AJIO,Shirts,3653.46
2025-10-18,AJIO,T-Shirts,3000.18
2025-10-18,AJIO,Jeans,2234.64
2025-10-18,AJIO,Co-ords,1614.4
2025-10-18,AJIO,Trousers,1446.6
2025-10-18,AJIO,Jackets,882.68
2025-10-19,D2C_APP,Shirts,8473.0
2025-10-19,D2C_APP,T-Shirts,5080.55
2025-10-19,D2C_APP,Jeans,3027.86
2025-10-19,D2C_APP,Co-ords,2228.32
2025-10-19,D2C_APP,Trousers,2775.87
2025-10-19,D2C_APP,Jackets,2166.01
2025-10-19,D2C_WEB,Shirts,4442.64
2025-10-19,D2C_WEB,T-Shirts,2611.85
2025-10-19,D2C_WEB,Jeans,2503.98
2025-10-19,D2C_WEB,Co-ords,2449.68
2025-10-19,D2C_WEB,Trousers,1360.96
2025-10-19,D2C_WEB,Jackets,1098.74
2025-10-19,MYNTRA,Shirts,9700.27
2025-10-19,MYNTRA,T-Shirts,7506.98
2025-10-19,MYNTRA,Jeans,4274.89
2025-10-19,MYNTRA,Co-ords,4130.75
2025-10-19,MYNTRA,Trousers,2851.27
2025-10-19,MYNTRA,Jackets,2745.03
2025-10-19,FLIPKART,Shirts,4317.3
2025-10-19,FLIPKART,T-Shirts,5105.58
2025-10-19,FLIPKART,Jeans,2952.34
2025-10-19,FLIPKART,Co-ords,2461.14
2025-10-19,FLIPKART,Trousers,2127.6
2025-10-19,FLIPKART,Jackets,1672.6
2025-10-19,AJIO,Shirts,2988.93
2025-10-19,AJIO,T-Shirts,2283.29
2025-10-19,AJIO,Jeans,1757.32
2025-10-19,AJIO,Co-ords,1175.52
2025-10-19,AJIO,Trousers,930.15
2025-10-19,AJIO,Jackets,1025.8
2025-10-20,D2C_APP,Shirts,4553.6
2025-10-20,D2C_APP,T-Shirts,5058.9
2025-10-20,D2C_APP,Jeans,2286.69
2025-10-20,D2C_APP,Co-ords,2729.59
2025-10-20,D2C_APP,Trousers,2150.55
2025-10-20,D2C_APP,Jackets,1467.28
