return_id,order_id,return_date,return_reason,refund_amount,reverse_logistics_cost
RT0000214,SN260304000214,2026-03-13,Quality not as expected,2885.91,80
RT0000216,SN260129000216,2026-02-03,Style/fit not as expected,1123.08,80
RT0000221,SN251117000221,2025-11-20,Changed mind,546.1,80
RT0000223,SN251002000223,2025-10-12,Quality not as expected,1564.63,80
RT0000232,SN260106000232,2026-01-14,Style/fit not as expected,1577.32,80
RT0000239,SN260206000239,2026-02-17,Style/fit not as expected,824.75,80
RT0000242,SN260106000242,2026-01-10,Size issue,920.71,80
RT0000247,SN260221000247,2026-02-27,Size issue,1747.11,80
RT0000248,SN251107000248,2025-11-13,Changed mind,1548.33,80
RT0000249,SN260310000249,2026-03-18,Size issue,1408.46,80
RT0000266,SN251216000266,2025-12-30,Size issue,1801.69,80
RT0000273,SN260322000273,2026-03-28,Size issue,696.34,80
RT0000281,SN251208000281,2025-12-21,Quality not as expected,2814.46,80
RT0000288,SN251208000288,2025-12-22,Style/fit not as expected,2398.8,80
RT0000296,SN251227000296,2025-12-31,Quality not as expected,2958.6,80
RT0000302,SN260117000302,2026-01-24,Wrong item delivered,2315.82,80
RT0000305,SN251108000305,2025-11-11,Quality not as expected,3833.66,80
RT0000319,SN260318000319,2026-03-25,Quality not as expected,1556.94,80
RT0000340,SN260227000340,2026-03-06,Changed mind,1720.9,80
RT0000344,SN260124000344,2026-01-26,Late delivery,4055.88,80
RT0000348,SN260127000348,2026-02-08,Quality not as expected,1633.08,0
RT0000349,SN251230000349,2026-01-10,Style/fit not as expected,5838.84,80
RT0000361,SN251219000361,2025-12-28,Size issue,1571.13,80
RT0000363,SN251103000363,2025-11-07,Quality not as expected,2995.78,80
RT0000365,SN260319000365,2026-03-27,Style/fit not as expected,1448.39,80
RT0000372,SN251023000372,2025-10-28,Size issue,902.53,80
RT0000374,SN251112000374,2025-11-21,Style/fit not as expected,1348.1,80
RT0000392,SN251114000392,2025-11-17,Changed mind,1343.9,80
RT0000398,SN260114000398,2026-01-22,Size issue,1271.89,80
RT0000402,SN260122000402,2026-01-31,Size issue,1543.88,80
RT0000410,SN251212000410,2025-12-17,Style/fit not as expected,1126.21,80
RT0000430,SN251021000430,2025-10-27,Size issue,1462.9,80
RT0000431,SN251113000431,2025-11-21,Style/fit not as expected,1810.49,80
RT0000445,SN251231000445,2026-01-09,Size issue,1701.6,80
RT0000448,SN260125000448,2026-01-31,Size issue,1367.39,80
RT0000449,SN260323000449,2026-03-27,Style/fit not as expected,1730.88,80
RT0000456,SN251029000456,2025-11-10,Quality not as expected,702.12,80
RT0000471,SN251028000471,2025-11-11,Size issue,4309.42,80
RT0000477,SN251210000477,2025-12-21,Style/fit not as expected,3485.54,80
RT0000490,SN251119000490,2025-11-29,Size issue,1509.78,80
RT0000493,SN260310000493,2026-03-24,Style/fit not as expected,2169.6,80
RT0000497,SN260123000497,2026-01-30,Size issue,853.48,80
RT0000500,SN251022000500,2025-10-25,Size issue,1327.91,80
RT0000510,SN260315000510,2026-03-26,Size issue,822.89,80
RT0000514,SN260218000514,2026-03-03,Quality not as expected,1855.19,80
RT0000515,SN251224000515,2025-12-29,Size issue,1902.31,80
RT0000542,SN251126000542,2025-12-08,Quality not as expected,2557.06,80
RT0000546,SN251031000546,2025-11-14,Style/fit not as expected,1006.27,80
RT0000556,SN260318000556,2026-03-28,Size issue,2536.52,80
RT0000564,SN260111000564,2026-01-14,Quality not as expected,1796.89,80
RT0000566,SN260112000566,2026-01-18,Size issue,1360.61,80
RT0000571,SN251230000571,2026-01-11,Style/fit not as expected,946.54,80
RT0000575,SN251121000575,2025-11-24,Style/fit not as expected,1928.93,80
RT0000600,SN260130000600,2026-02-05,Style/fit not as expected,1891.32,80
RT0000616,SN260309000616,2026-03-12,Size issue,4569.48,80
RT0000618,SN251219000618,2025-12-22,Late delivery,687.89,80
RT0000622,SN251123000622,2025-12-03,Quality not as expected,1725.44,80
RT0000627,SN260310000627,2026-03-19,Size issue,973.01,80
RT0000628,SN260220000628,2026-03-05,Size issue,812.84,80
RT0000636,SN251103000636,2025-11-15,Late delivery,1932.32,80
RT0000642,SN260107000642,2026-01-20,Quality not as expected,1214.99,80
RT0000650,SN251210000650,2025-12-19,Size issue,1446.42,80
RT0000658,SN260302000658,2026-03-09,Size issue,1936.26,80
RT0000671,SN251205000671,2025-12-17,Changed mind,782.59,80
RT0000676,SN251228000676,2025-12-30,Style/fit not as expected,4130.85,80
RT0000687,SN260223000687,2026-03-09,Quality not as expected,2837.64,80
RT0000689,SN260130000689,2026-02-05,Changed mind,2744.45,80
RT0000691,SN260307000691,2026-03-20,Late delivery,1621.64,80
RT0000696,SN251112000696,2025-11-24,Quality not as expected,1833.36,80
RT0000697,SN260206000697,2026-02-14,Size issue,725.59,80
RT0000702,SN260318000702,2026-03-24,Size issue,1756.09,80
RT0000703,SN260123000703,2026-02-06,Size issue,5514.75,80
RT0000709,SN251212000709,2025-12-21,Style/fit not as expected,3542.22,80
RT0000712,SN251224000712,2026-01-06,Changed mind,1244.34,80
RT0000734,SN260214000734,2026-02-25,Quality not as expected,1136.93,80
RT0000737,SN251013000737,2025-10-21,Size issue,1641.51,80
RT0000739,SN251219000739,2026-01-02,Style/fit not as expected,3921.68,80
RT0000743,SN260125000743,2026-02-01,Style/fit not as expected,4761.0,80
RT0000744,SN251102000744,2025-11-08,Quality not as expected,613.56,80
RT0000745,SN260111000745,2026-01-16,Late delivery,809.43,80
RT0000746,SN260301000746,2026-03-13,Size issue,1194.08,80
RT0000747,SN260224000747,2026-03-05,Size issue,910.72,80
RT0000750,SN260312000750,2026-03-23,Quality not as expected,1378.79,80
RT0000755,SN260106000755,2026-01-16,Size issue,3055.21,80
RT0000756,SN260101000756,2026-01-04,Style/fit not as expected,2146.93,80
RT0000757,SN251106000757,2025-11-18,Late delivery,3897.72,80
RT0000770,SN251204000770,2025-12-08,Wrong item delivered,1498.96,80
RT0000771,SN251108000771,2025-11-18,Late delivery,2114.68,80
RT0000773,SN260114000773,2026-01-27,Late delivery,1599.24,80
RT0000783,SN260325000783,2026-03-28,Size issue,1676.38,80
RT0000791,SN251125000791,2025-11-28,Quality not as expected,1447.48,80
RT0000792,SN251204000792,2025-12-06,Style/fit not as expected,1500.75,80
RT0000794,SN260203000794,2026-02-08,Size issue,2763.62,80
RT0000800,SN251022000800,2025-11-02,Size issue,742.42,80
RT0000804,SN251108000804,2025-11-19,Size issue,1231.65,80
RT0000813,SN260105000813,2026-01-08,Style/fit not as expected,1559.32,80
RT0000814,SN260301000814,2026-03-13,Size issue,1295.06,80
RT0000822,SN251014000822,2025-10-19,Style/fit not as expected,1568.83,80
RT0000823,SN260301000823,2026-03-06,Size issue,989.69,80
RT0000828,SN251215000828,2025-12-25,Late delivery,2177.98,80
RT0000842,SN251114000842,2025-11-21,Size issue,1382.08,80
RT0000850,SN260130000850,2026-02-13,Size issue,2003.18,80
RT0000856,SN251114000856,2025-11-16,Changed mind,999.69,80
RT0000857,SN260225000857,2026-03-04,Changed mind,803.07,80
RT0000859,SN260112000859,2026-01-25,Quality not as expected,2047.98,80
RT0000862,SN251029000862,2025-11-09,Late delivery,671.19,0
RT0000865,SN260209000865,2026-02-21,Size issue,2218.72,80
RT0000870,SN260212000870,2026-02-20,Style/fit not as expected,951.4,80
RT0000871,SN251209000871,2025-12-13,Late delivery,1127.01,80
RT0000877,SN260130000877,2026-02-05,Size issue,1594.46,80
RT0000878,SN251015000878,2025-10-22,Size issue,532.22,80
RT0000888,SN251217000888,2025-12-22,Size issue,4685.1,80
RT0000891,SN260119000891,2026-01-22,Wrong item delivered,1684.26,80
RT0000898,SN260207000898,2026-02-14,Changed mind,1417.17,80
RT0000903,SN251127000903,2025-12-11,Quality not as expected,2626.64,80
RT0000908,SN260226000908,2026-03-10,Style/fit not as expected,4076.62,80
RT0000909,SN260112000909,2026-01-21,Quality not as expected,755.03,80
RT0000916,SN251112000916,2025-11-24,Quality not as expected,1303.62,80
RT0000923,SN260126000923,2026-02-04,Quality not as expected,1667.01,80
RT0000935,SN260312000935,2026-03-23,Size issue,1659.02,80
RT0000955,SN251014000955,2025-10-19,Style/fit not as expected,738.41,80
RT0000958,SN251104000958,2025-11-12,Size issue,2107.26,80
RT0000965,SN251212000965,2025-12-18,Size issue,2565.18,80
RT0000966,SN260124000966,2026-01-31,Changed mind,2449.59,80
RT0000967,SN260110000967,2026-01-12,Size issue,578.59,80
RT0000972,SN251023000972,2025-10-27,Quality not as expected,832.45,80
RT0000975,SN260220000975,2026-02-25,Size issue,1242.98,80
RT0000978,SN251107000978,2025-11-17,Late delivery,1012.08,80
RT0000985,SN251222000985,2025-12-28,Size issue,1874.95,80
RT0000991,SN260117000991,2026-01-26,Style/fit not as expected,1492.65,80
RT0000994,SN251216000994,2025-12-18,Quality not as expected,1785.0,80
RT0000998,SN260321000998,2026-03-24,Style/fit not as expected,2394.84,80
RT0001001,SN260131001001,2026-02-11,Size issue,1843.01,80
RT0001004,SN260310001004,2026-03-18,Size issue,1809.71,80
RT0001005,SN251112001005,2025-11-21,Quality not as expected,1698.69,80
RT0001006,SN251121001006,2025-12-04,Quality not as expected,2276.3,80
RT0001013,SN260325001013,2026-03-31,Style/fit not as expected,1192.93,80
RT0001015,SN251111001015,2025-11-16,Size issue,1714.91,80
RT0001018,SN260206001018,2026-02-11,Quality not as expected,2183.33,80
RT0001021,SN251029001021,2025-11-08,Size issue,4082.0,80
RT0001025,SN251002001025,2025-10-09,Style/fit not as expected,1792.21,80
RT0001028,SN260210001028,2026-02-24,Quality not as expected,1584.33,80
RT0001050,SN260103001050,2026-01-07,Size issue,2277.66,0
RT0001051,SN251218001051,2025-12-29,Quality not as expected,1898.5,80
RT0001052,SN251218001052,2025-12-25,Size issue,1725.54,80
RT0001056,SN260110001056,2026-01-14,Style/fit not as expected,2097.42,80
RT0001075,SN260127001075,2026-02-05,Size issue,663.89,80
RT0001078,SN251111001078,2025-11-15,Style/fit not as expected,1055.03,80
RT0001081,SN251123001081,2025-12-02,Size issue,1557.43,80
RT0001091,SN260304001091,2026-03-15,Late delivery,2149.46,80
RT0001096,SN251013001096,2025-10-16,Wrong item delivered,1291.6,80
RT0001099,SN251007001099,2025-10-12,Changed mind,1168.83,80
RT0001101,SN260121001101,2026-01-23,Size issue,806.27,80
RT0001110,SN260316001110,2026-03-22,Style/fit not as expected,925.33,80
RT0001116,SN251011001116,2025-10-20,Style/fit not as expected,1328.0,80
RT0001117,SN251224001117,2025-12-26,Size issue,2518.32,80
RT0001128,SN260203001128,2026-02-13,Size issue,804.83,80
RT0001134,SN260118001134,2026-01-27,Size issue,1485.68,80
RT0001137,SN251128001137,2025-12-05,Size issue,1850.33,80
RT0001146,SN260117001146,2026-01-31,Size issue,1588.95,80
RT0001149,SN260130001149,2026-02-02,Style/fit not as expected,2211.12,80
RT0001166,SN251027001166,2025-10-29,Quality not as expected,1880.29,80
RT0001170,SN260129001170,2026-02-04,Size issue,2140.47,80
RT0001175,SN251014001175,2025-10-19,Size issue,1481.16,80
RT0001177,SN251025001177,2025-11-01,Size issue,1136.6,80
RT0001178,SN260310001178,2026-03-15,Size issue,4177.88,80
RT0001185,SN260313001185,2026-03-27,Wrong item delivered,1025.6,80
RT0001186,SN251219001186,2025-12-28,Size issue,1016.98,80
RT0001201,SN260221001201,2026-02-23,Late delivery,1328.01,80
RT0001207,SN260125001207,2026-01-28,Style/fit not as expected,982.47,80
RT0001213,SN251123001213,2025-11-26,Style/fit not as expected,2313.92,80
RT0001220,SN251208001220,2025-12-18,Style/fit not as expected,2533.68,80
RT0001246,SN251215001246,2025-12-27,Late delivery,1287.24,80
RT0001251,SN260202001251,2026-02-04,Quality not as expected,2980.04,80
RT0001252,SN251226001252,2026-01-08,Size issue,1309.52,80
RT0001254,SN251014001254,2025-10-27,Quality not as expected,860.9,80
RT0001269,SN251116001269,2025-11-27,Size issue,1650.97,80
RT0001270,SN251111001270,2025-11-17,Size issue,1712.24,80
RT0001273,SN251220001273,2025-12-22,Size issue,1968.82,80
RT0001285,SN260305001285,2026-03-19,Style/fit not as expected,1809.68,80
RT0001291,SN251021001291,2025-10-27,Quality not as expected,2542.34,80
RT0001306,SN251105001306,2025-11-10,Size issue,3789.08,80
RT0001307,SN251104001307,2025-11-13,Changed mind,862.98,80
RT0001308,SN251208001308,2025-12-22,Style/fit not as expected,976.34,80
RT0001309,SN260111001309,2026-01-13,Size issue,1329.39,80
RT0001314,SN260206001314,2026-02-09,Size issue,2051.4,80
RT0001315,SN251010001315,2025-10-12,Size issue,2594.96,80
RT0001329,SN260221001329,2026-03-01,Quality not as expected,3295.68,80
RT0001330,SN260206001330,2026-02-17,Size issue,7897.59,80
RT0001333,SN251209001333,2025-12-23,Quality not as expected,706.32,80
RT0001337,SN251123001337,2025-12-06,Wrong item delivered,1945.48,80
RT0001341,SN260312001341,2026-03-24,Late delivery,2237.45,80
RT0001349,SN251103001349,2025-11-05,Changed mind,1757.22,80
RT0001350,SN251028001350,2025-11-11,Quality not as expected,1643.04,80
RT0001366,SN251126001366,2025-12-06,Quality not as expected,5842.17,80
RT0001377,SN251024001377,2025-11-01,Size issue,2369.03,0
RT0001379,SN260106001379,2026-01-09,Size issue,1389.46,80
RT0001381,SN251219001381,2025-12-30,Quality not as expected,1305.14,80
RT0001383,SN251212001383,2025-12-16,Style/fit not as expected,1376.23,80
RT0001384,SN251025001384,2025-11-08,Size issue,1138.16,80
RT0001391,SN251023001391,2025-11-03,Size issue,1047.93,80
RT0001393,SN260122001393,2026-01-28,Size issue,3306.72,80
RT0001398,SN260128001398,2026-01-31,Wrong item delivered,1210.33,80
RT0001404,SN260124001404,2026-02-01,Size issue,4838.24,80
RT0001413,SN251004001413,2025-10-13,Style/fit not as expected,4048.8,80
RT0001415,SN251115001415,2025-11-27,Style/fit not as expected,2102.91,80
RT0001416,SN260120001416,2026-01-23,Late delivery,1404.96,80
RT0001418,SN260309001418,2026-03-15,Late delivery,1583.95,80
RT0001423,SN260115001423,2026-01-29,Size issue,1672.23,80
RT0001425,SN251201001425,2025-12-12,Quality not as expected,1097.44,80
RT0001429,SN260219001429,2026-03-05,Quality not as expected,2872.96,80
RT0001430,SN251008001430,2025-10-21,Size issue,1649.35,80
RT0001432,SN251202001432,2025-12-05,Changed mind,1399.81,80
RT0001435,SN251123001435,2025-12-05,Size issue,2812.22,80
RT0001440,SN260209001440,2026-02-13,Size issue,3258.96,80
RT0001477,SN251211001477,2025-12-20,Late delivery,1118.87,80
RT0001497,SN251006001497,2025-10-08,Size issue,7179.15,80
RT0001502,SN260119001502,2026-01-21,Quality not as expected,2218.3,80
RT0001504,SN251111001504,2025-11-17,Late delivery,1499.53,80
RT0001511,SN260226001511,2026-03-04,Size issue,1281.81,80
RT0001519,SN251002001519,2025-10-08,Late delivery,2971.8,80
RT0001525,SN260304001525,2026-03-14,Quality not as expected,1689.14,80
RT0001526,SN251015001526,2025-10-25,Size issue,2715.6,80
RT0001527,SN260306001527,2026-03-10,Late delivery,1380.0,0
RT0001530,SN251028001530,2025-11-05,Size issue,2115.94,80
RT0001541,SN251114001541,2025-11-20,Size issue,3784.24,80
RT0001542,SN251019001542,2025-10-28,Size issue,2211.03,80
RT0001544,SN251121001544,2025-11-23,Style/fit not as expected,4138.9,80
RT0001554,SN251207001554,2025-12-12,Quality not as expected,2482.06,80
RT0001555,SN251224001555,2026-01-04,Wrong item delivered,589.63,80
RT0001557,SN251021001557,2025-10-30,Quality not as expected,2132.77,80
RT0001563,SN260215001563,2026-02-19,Quality not as expected,3761.14,80
RT0001567,SN260102001567,2026-01-15,Quality not as expected,2291.08,80
RT0001569,SN251105001569,2025-11-18,Late delivery,1382.23,80
RT0001585,SN251101001585,2025-11-03,Quality not as expected,1238.81,80
RT0001591,SN251205001591,2025-12-10,Size issue,1023.46,80
RT0001616,SN251116001616,2025-11-27,Size issue,1492.37,80
RT0001629,SN251230001629,2026-01-06,Size issue,955.89,80
RT0001635,SN251124001635,2025-12-02,Style/fit not as expected,1122.3,80
RT0001636,SN260307001636,2026-03-13,Late delivery,1450.75,80
RT0001640,SN260127001640,2026-02-05,Late delivery,2084.45,80
RT0001645,SN251122001645,2025-12-05,Size issue,1921.83,0
RT0001649,SN251203001649,2025-12-11,Style/fit not as expected,3496.38,80
RT0001652,SN260105001652,2026-01-08,Quality not as expected,730.69,80
RT0001663,SN251016001663,2025-10-23,Style/fit not as expected,1746.88,80
RT0001666,SN251021001666,2025-10-31,Style/fit not as expected,620.62,80
RT0001672,SN251104001672,2025-11-13,Size issue,1505.61,80
RT0001679,SN260301001679,2026-03-03,Style/fit not as expected,3955.5,80
RT0001691,SN251012001691,2025-10-25,Wrong item delivered,1806.31,80
RT0001703,SN251006001703,2025-10-19,Changed mind,1574.22,80
RT0001708,SN260311001708,2026-03-22,Size issue,1332.21,80
RT0001712,SN260228001712,2026-03-07,Late delivery,1589.16,80
RT0001713,SN251003001713,2025-10-10,Size issue,2275.0,80
RT0001721,SN260126001721,2026-02-01,Size issue,1506.75,80
RT0001724,SN260129001724,2026-02-02,Size issue,1829.11,80
RT0001728,SN251001001728,2025-10-06,Size issue,950.77,80
RT0001729,SN251217001729,2025-12-25,Style/fit not as expected,1526.94,80
RT0001738,SN251013001738,2025-10-24,Style/fit not as expected,815.65,80
RT0001743,SN251202001743,2025-12-13,Changed mind,2218.63,0
RT0001757,SN260213001757,2026-02-24,Quality not as expected,1001.74,80
RT0001772,SN251122001772,2025-12-01,Quality not as expected,986.43,80
RT0001773,SN251029001773,2025-11-11,Changed mind,3067.74,80
RT0001775,SN260107001775,2026-01-21,Style/fit not as expected,865.67,80
RT0001777,SN251011001777,2025-10-15,Late delivery,2120.96,80
RT0001779,SN251202001779,2025-12-15,Quality not as expected,1395.52,80
RT0001784,SN260107001784,2026-01-09,Size issue,1879.91,80
RT0001785,SN260208001785,2026-02-12,Quality not as expected,1241.25,80
RT0001786,SN260206001786,2026-02-16,Quality not as expected,874.89,80
RT0001795,SN251208001795,2025-12-12,Quality not as expected,3370.58,80
RT0001796,SN251016001796,2025-10-30,Size issue,852.8,80
RT0001797,SN260312001797,2026-03-23,Size issue,1418.01,80
RT0001800,SN251001001800,2025-10-10,Quality not as expected,2406.93,80
RT0001809,SN260317001809,2026-03-23,Size issue,1170.0,80
RT0001814,SN260221001814,2026-02-25,Size issue,1001.29,80
RT0001825,SN260213001825,2026-02-23,Late delivery,2788.12,0
RT0001828,SN260220001828,2026-03-01,Style/fit not as expected,1343.9,80
RT0001834,SN260225001834,2026-03-08,Changed mind,2751.94,80
RT0001836,SN251121001836,2025-11-28,Size issue,3743.26,80
RT0001840,SN251114001840,2025-11-23,Style/fit not as expected,1010.99,80
RT0001853,SN251110001853,2025-11-19,Quality not as expected,2008.93,80
RT0001856,SN260307001856,2026-03-17,Size issue,1667.04,80
RT0001865,SN251211001865,2025-12-18,Late delivery,2722.98,80
RT0001877,SN260130001877,2026-02-09,Style/fit not as expected,1356.55,80
RT0001881,SN251105001881,2025-11-14,Size issue,2146.2,80
RT0001882,SN251210001882,2025-12-22,Quality not as expected,1066.06,80
RT0001883,SN251129001883,2025-12-13,Wrong item delivered,2087.91,80
RT0001886,SN251027001886,2025-11-08,Quality not as expected,2771.56,80
RT0001888,SN251210001888,2025-12-17,Size issue,1983.86,80
RT0001901,SN251023001901,2025-10-29,Size issue,2102.42,80
RT0001920,SN251228001920,2026-01-03,Changed mind,4266.96,80
RT0001923,SN260208001923,2026-02-19,Size issue,941.15,80
RT0001925,SN251111001925,2025-11-15,Size issue,1623.4,80
RT0001927,SN260325001927,2026-03-28,Size issue,1135.72,80
RT0001928,SN251115001928,2025-11-27,Style/fit not as expected,1739.86,80
RT0001929,SN251226001929,2026-01-05,Size issue,3382.1,80
RT0001931,SN251001001931,2025-10-12,Quality not as expected,717.94,80
RT0001938,SN251017001938,2025-10-25,Size issue,4691.56,80
RT0001952,SN251115001952,2025-11-20,Style/fit not as expected,1729.23,80
RT0001953,SN251206001953,2025-12-18,Style/fit not as expected,1177.61,80
RT0001958,SN260327001958,2026-03-30,Size issue,1860.18,80
RT0001960,SN260129001960,2026-02-11,Late delivery,671.55,80
RT0001963,SN260223001963,2026-03-04,Size issue,2105.88,80
RT0001965,SN260106001965,2026-01-18,Style/fit not as expected,1834.49,80
RT0001969,SN251002001969,2025-10-07,Style/fit not as expected,722.1,80
RT0001974,SN251205001974,2025-12-14,Size issue,4169.2,80
RT0001977,SN251226001977,2025-12-31,Quality not as expected,1593.12,80
RT0001984,SN260202001984,2026-02-05,Style/fit not as expected,1864.53,0
RT0001987,SN251220001987,2025-12-30,Size issue,647.22,80
RT0001995,SN260109001995,2026-01-21,Size issue,3870.27,80
RT0002012,SN260129002012,2026-01-31,Size issue,1225.75,80
RT0002021,SN251221002021,2026-01-03,Size issue,1739.67,80
RT0002025,SN251007002025,2025-10-14,Size issue,4447.66,80
RT0002026,SN260319002026,2026-03-28,Size issue,1408.16,80
RT0002035,SN251211002035,2025-12-18,Style/fit not as expected,980.25,80
RT0002046,SN260105002046,2026-01-07,Size issue,1671.45,80
RT0002058,SN260314002058,2026-03-28,Wrong item delivered,1951.8,80
RT0002060,SN251015002060,2025-10-17,Size issue,4788.42,80
RT0002068,SN251225002068,2026-01-05,Changed mind,1209.09,0
RT0002077,SN251001002077,2025-10-06,Style/fit not as expected,1578.48,80
RT0002078,SN260117002078,2026-01-20,Size issue,617.25,80
RT0002081,SN260226002081,2026-03-11,Size issue,1429.05,80
RT0002098,SN260109002098,2026-01-21,Style/fit not as expected,1744.3,80
RT0002101,SN251123002101,2025-11-27,Late delivery,1262.27,80
RT0002104,SN260308002104,2026-03-15,Size issue,2886.55,80
RT0002111,SN260108002111,2026-01-18,Quality not as expected,1224.68,80
RT0002116,SN251128002116,2025-12-02,Style/fit not as expected,1163.5,80
RT0002117,SN260304002117,2026-03-14,Wrong item delivered,1087.36,80
RT0002144,SN260109002144,2026-01-20,Size issue,2248.82,80
RT0002154,SN251024002154,2025-10-29,Late delivery,1217.64,80
RT0002157,SN251124002157,2025-12-02,Late delivery,1567.97,80
RT0002163,SN260129002163,2026-02-11,Late delivery,2229.7,80
RT0002168,SN260106002168,2026-01-19,Quality not as expected,2162.88,80
RT0002170,SN251117002170,2025-11-19,Quality not as expected,1425.09,80
RT0002176,SN251015002176,2025-10-26,Late delivery,4777.76,80
RT0002178,SN251111002178,2025-11-20,Quality not as expected,1834.99,80
RT0002181,SN260212002181,2026-02-15,Quality not as expected,1111.9,80
RT0002184,SN260301002184,2026-03-06,Wrong item delivered,988.45,80
RT0002186,SN260115002186,2026-01-22,Size issue,1755.55,80
RT0002198,SN251119002198,2025-11-24,Size issue,2535.52,80
RT0002209,SN251015002209,2025-10-22,Size issue,979.17,80
RT0002212,SN251112002212,2025-11-15,Style/fit not as expected,1367.08,80
RT0002215,SN260102002215,2026-01-08,Size issue,2774.09,0
RT0002222,SN251219002222,2025-12-21,Quality not as expected,1711.01,80
RT0002238,SN251010002238,2025-10-15,Size issue,875.96,80
RT0002243,SN251130002243,2025-12-08,Size issue,1253.6,80
RT0002246,SN251103002246,2025-11-07,Wrong item delivered,1467.82,80
RT0002251,SN251230002251,2026-01-10,Late delivery,1715.97,80
RT0002254,SN260119002254,2026-01-31,Quality not as expected,708.53,80
RT0002256,SN260220002256,2026-03-01,Size issue,1033.36,80
RT0002258,SN251220002258,2025-12-24,Quality not as expected,620.98,80
RT0002259,SN260219002259,2026-03-03,Size issue,627.31,80
RT0002261,SN260320002261,2026-03-27,Late delivery,1543.67,80
RT0002268,SN251011002268,2025-10-14,Changed mind,1504.32,80
RT0002278,SN251001002278,2025-10-05,Late delivery,890.44,80
RT0002286,SN251016002286,2025-10-19,Wrong item delivered,1283.38,80
RT0002299,SN251231002299,2026-01-07,Size issue,1658.0,80
RT0002302,SN260214002302,2026-02-27,Size issue,1096.88,80
RT0002313,SN251215002313,2025-12-28,Size issue,951.27,80
RT0002316,SN260116002316,2026-01-21,Style/fit not as expected,2470.59,80
RT0002322,SN260215002322,2026-02-28,Style/fit not as expected,1992.46,80
RT0002331,SN251008002331,2025-10-21,Size issue,1412.62,80
RT0002338,SN251011002338,2025-10-23,Size issue,1706.85,80
RT0002344,SN260212002344,2026-02-20,Size issue,1025.53,80
RT0002353,SN251128002353,2025-12-11,Size issue,1858.91,80
RT0002356,SN260206002356,2026-02-17,Late delivery,1974.97,80
RT0002360,SN251220002360,2026-01-02,Quality not as expected,1421.36,80
RT0002366,SN260219002366,2026-02-21,Changed mind,4881.0,80
RT0002370,SN260308002370,2026-03-19,Size issue,2454.5,80
RT0002373,SN251113002373,2025-11-18,Quality not as expected,1939.12,80
RT0002382,SN260117002382,2026-01-30,Changed mind,2241.11,80
RT0002387,SN260305002387,2026-03-11,Size issue,1039.25,80
RT0002399,SN260319002399,2026-03-29,Style/fit not as expected,3102.36,80
RT0002416,SN260123002416,2026-01-27,Size issue,1224.42,80
RT0002425,SN260105002425,2026-01-11,Quality not as expected,1718.33,80
RT0002432,SN251129002432,2025-12-09,Size issue,1307.01,80
RT0002435,SN251031002435,2025-11-08,Quality not as expected,2894.86,80
RT0002437,SN260318002437,2026-03-26,Style/fit not as expected,2570.18,80
RT0002438,SN260318002438,2026-03-24,Size issue,1352.45,80
RT0002439,SN251108002439,2025-11-19,Size issue,5230.92,80
RT0002442,SN251010002442,2025-10-20,Quality not as expected,1118.95,80
RT0002451,SN251109002451,2025-11-21,Quality not as expected,5803.62,80
RT0002456,SN251204002456,2025-12-15,Size issue,1291.56,80
RT0002460,SN251223002460,2025-12-30,Size issue,2132.02,80
RT0002466,SN260225002466,2026-03-02,Quality not as expected,1712.53,80
